disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Chronic Illness,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Healthcare,6.1,5,1,0
Musculoskeletal,Policy Change / Exemption,Vision,$1–$500,Small (<50),Finance/Insurance,7.0,66,0,1
Musculoskeletal,Flexible Scheduling,Communication,$1–$500,Large (500+),Healthcare,0.5,28,1,1
Psychiatric,Leave of Absence,Communication,"$501–$2,000",Large (500+),Finance/Insurance,2.4,17,1,0
Musculoskeletal,Remote Work / Telework,Dexterity,$1–$500,Mid-size (50–499),Manufacturing,9.7,35,1,0
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,3.9,34,3,0
Neurological,Flexible Scheduling,Vision,$0 (No Cost),Large (500+),Finance/Insurance,4.0,18,0,1
Psychiatric,Flexible Scheduling,Concentration/Focus,"$2,001+",Small (<50),Government/Public Sector,1.3,5,1,0
Chronic Illness,Assistive Technology,Concentration/Focus,"$2,001+",Large (500+),Finance/Insurance,2.4,66,0,1
Cognitive,Flexible Scheduling,Dexterity,"$2,001+",Mid-size (50–499),Manufacturing,5.4,14,1,0
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Finance/Insurance,5.8,12,0,0
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,9.0,15,2,0
Psychiatric,Leave of Absence,Concentration/Focus,$1–$500,Large (500+),Government/Public Sector,0.5,45,0,1
Neurological,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,4.7,19,0,1
Psychiatric,Policy Change / Exemption,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,3.7,15,1,0
Chronic Illness,Leave of Absence,Concentration/Focus,$1–$500,Small (<50),Education,0.7,34,1,0
Sensory (Vision/Hearing),Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,3.1,30,0,1
Chronic Illness,Physical Modification,Communication,$1–$500,Large (500+),Healthcare,3.2,16,0,0
Neurological,Physical Modification,Hearing,$0 (No Cost),Large (500+),Retail/Hospitality,0.6,5,0,1
Cognitive,Assistive Technology,Mobility,$0 (No Cost),Small (<50),Healthcare,1.8,44,0,0
Psychiatric,Physical Modification,Hearing,$0 (No Cost),Large (500+),Manufacturing,11.6,31,1,1
Musculoskeletal,Policy Change / Exemption,Vision,"$501–$2,000",Large (500+),Healthcare,9.6,4,0,1
Musculoskeletal,Flexible Scheduling,Mobility,$1–$500,Mid-size (50–499),Education,6.7,72,1,1
Cognitive,Remote Work / Telework,Dexterity,"$2,001+",Small (<50),Finance/Insurance,1.8,3,0,1
Neurological,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.9,13,2,1
Chronic Illness,Ergonomic Equipment,Communication,$0 (No Cost),Small (<50),Retail/Hospitality,14.6,14,0,0
Psychiatric,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,11.0,16,0,1
Cognitive,Physical Modification,Dexterity,$1–$500,Mid-size (50–499),Technology,7.9,16,1,1
Neurological,Policy Change / Exemption,Dexterity,$0 (No Cost),Large (500+),Manufacturing,1.9,8,2,1
Neurological,Ergonomic Equipment,Dexterity,$1–$500,Mid-size (50–499),Healthcare,0.9,29,1,0
Cognitive,Flexible Scheduling,Hearing,"$501–$2,000",Large (500+),Healthcare,0.7,50,0,1
Musculoskeletal,Leave of Absence,Communication,"$501–$2,000",Large (500+),Technology,0.5,28,0,0
Musculoskeletal,Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Finance/Insurance,3.4,32,1,1
Neurological,Flexible Scheduling,Vision,$1–$500,Small (<50),Finance/Insurance,4.0,20,2,1
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,12.4,27,1,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,4.2,34,1,1
Psychiatric,Physical Modification,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,1.1,42,0,1
Psychiatric,Assistive Technology,Vision,$1–$500,Mid-size (50–499),Government/Public Sector,6.8,15,1,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Government/Public Sector,1.2,13,0,1
Neurological,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Education,9.8,2,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,"$2,001+",Large (500+),Manufacturing,0.5,87,0,1
Musculoskeletal,Flexible Scheduling,Mobility,"$2,001+",Small (<50),Healthcare,1.3,83,0,1
Musculoskeletal,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Technology,18.1,24,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,"$501–$2,000",Small (<50),Education,1.9,25,0,1
Cognitive,Flexible Scheduling,Vision,$0 (No Cost),Large (500+),Finance/Insurance,0.5,69,1,1
Cognitive,Physical Modification,Concentration/Focus,$1–$500,Large (500+),Education,1.7,9,1,1
Musculoskeletal,Physical Modification,Vision,"$501–$2,000",Large (500+),Manufacturing,2.1,12,1,1
Musculoskeletal,Assistive Technology,Mobility,"$501–$2,000",Small (<50),Finance/Insurance,1.2,72,2,1
Musculoskeletal,Policy Change / Exemption,Hearing,"$501–$2,000",Mid-size (50–499),Education,5.6,20,1,1
Neurological,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Government/Public Sector,3.5,10,1,1
Musculoskeletal,Leave of Absence,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Government/Public Sector,5.0,35,0,0
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$1–$500,Small (<50),Government/Public Sector,4.8,15,0,1
Neurological,Leave of Absence,Concentration/Focus,$0 (No Cost),Large (500+),Education,0.5,64,0,0
Musculoskeletal,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,1.0,27,2,1
Musculoskeletal,Policy Change / Exemption,Dexterity,$1–$500,Mid-size (50–499),Manufacturing,9.0,15,1,1
Musculoskeletal,Assistive Technology,Communication,$1–$500,Large (500+),Manufacturing,9.7,16,0,1
Psychiatric,Physical Modification,Communication,$1–$500,Large (500+),Retail/Hospitality,3.0,34,0,0
Psychiatric,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Small (<50),Manufacturing,2.1,22,1,1
Sensory (Vision/Hearing),Physical Modification,Communication,$1–$500,Large (500+),Healthcare,2.4,19,1,1
Musculoskeletal,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.4,43,0,0
Psychiatric,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,11.2,70,3,1
Neurological,Assistive Technology,Dexterity,$1–$500,Mid-size (50–499),Education,0.5,39,3,1
Sensory (Vision/Hearing),Flexible Scheduling,Hearing,$1–$500,Large (500+),Healthcare,4.0,14,4,1
Musculoskeletal,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Education,1.9,10,2,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Government/Public Sector,9.4,41,0,1
Cognitive,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Manufacturing,5.4,39,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$1–$500,Small (<50),Healthcare,2.7,18,1,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,"$501–$2,000",Large (500+),Government/Public Sector,5.6,22,0,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Technology,17.7,14,1,0
Cognitive,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,1.7,10,2,1
Musculoskeletal,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,4.8,15,0,1
Cognitive,Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Technology,12.2,2,2,0
Neurological,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Manufacturing,7.2,56,0,1
Psychiatric,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Technology,0.5,7,3,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Technology,6.9,24,2,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,"$501–$2,000",Small (<50),Education,4.5,3,4,1
Neurological,Remote Work / Telework,Hearing,$0 (No Cost),Large (500+),Government/Public Sector,9.1,38,1,1
Psychiatric,Physical Modification,Dexterity,$0 (No Cost),Large (500+),Government/Public Sector,2.8,46,1,0
Sensory (Vision/Hearing),Assistive Technology,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,3.0,26,0,1
Chronic Illness,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,7.1,23,1,1
Neurological,Remote Work / Telework,Vision,$1–$500,Small (<50),Retail/Hospitality,1.7,14,1,0
Musculoskeletal,Physical Modification,Stamina/Endurance,"$501–$2,000",Small (<50),Retail/Hospitality,3.8,55,0,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Manufacturing,9.9,6,0,1
Chronic Illness,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,0.5,17,0,1
Musculoskeletal,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,4.8,13,1,1
Chronic Illness,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,16.9,12,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Finance/Insurance,3.6,54,0,0
Neurological,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,6.5,22,0,1
Musculoskeletal,Leave of Absence,Vision,$1–$500,Small (<50),Healthcare,13.7,14,0,0
Psychiatric,Leave of Absence,Hearing,"$501–$2,000",Mid-size (50–499),Technology,1.8,31,0,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Healthcare,0.5,30,0,1
Neurological,Assistive Technology,Hearing,$0 (No Cost),Large (500+),Manufacturing,0.5,45,2,1
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,1.5,34,1,1
Cognitive,Leave of Absence,Communication,$1–$500,Mid-size (50–499),Manufacturing,19.2,23,0,1
Cognitive,Physical Modification,Vision,$1–$500,Mid-size (50–499),Retail/Hospitality,1.8,24,0,1
Chronic Illness,Physical Modification,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,12.9,33,1,1
Psychiatric,Physical Modification,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Manufacturing,1.7,11,0,1
Neurological,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,6.4,29,1,1
Chronic Illness,Remote Work / Telework,Communication,$0 (No Cost),Small (<50),Healthcare,0.5,69,0,1
Musculoskeletal,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,3.7,26,1,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,2.8,19,0,1
Chronic Illness,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,0.5,18,0,1
Neurological,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,8.0,32,0,1
Neurological,Remote Work / Telework,Mobility,$1–$500,Small (<50),Manufacturing,3.5,28,2,0
Cognitive,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.0,39,0,0
Neurological,Assistive Technology,Hearing,"$501–$2,000",Mid-size (50–499),Manufacturing,4.6,15,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,"$2,001+",Mid-size (50–499),Government/Public Sector,5.7,21,1,1
Musculoskeletal,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,1.2,44,0,1
Musculoskeletal,Leave of Absence,Communication,$0 (No Cost),Small (<50),Government/Public Sector,0.9,46,4,0
Psychiatric,Remote Work / Telework,Vision,$1–$500,Small (<50),Technology,4.5,46,2,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,"$2,001+",Small (<50),Retail/Hospitality,8.4,41,0,0
Chronic Illness,Assistive Technology,Concentration/Focus,"$501–$2,000",Small (<50),Healthcare,7.6,42,0,0
Musculoskeletal,Leave of Absence,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,2.8,29,3,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,3.1,7,1,1
Chronic Illness,Leave of Absence,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,3.9,8,0,1
Psychiatric,Policy Change / Exemption,Dexterity,"$501–$2,000",Mid-size (50–499),Healthcare,0.5,26,2,1
Neurological,Physical Modification,Hearing,$1–$500,Large (500+),Government/Public Sector,5.6,27,0,1
Musculoskeletal,Assistive Technology,Mobility,$1–$500,Small (<50),Technology,5.3,12,0,1
Sensory (Vision/Hearing),Leave of Absence,Communication,$1–$500,Small (<50),Education,12.0,13,1,1
Psychiatric,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Education,22.9,23,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Education,1.8,95,0,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,1.6,10,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$1–$500,Large (500+),Government/Public Sector,2.4,18,2,0
Psychiatric,Flexible Scheduling,Hearing,$1–$500,Large (500+),Manufacturing,1.0,45,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,$1–$500,Small (<50),Healthcare,0.9,40,2,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,3.0,31,0,1
Psychiatric,Remote Work / Telework,Communication,"$501–$2,000",Small (<50),Healthcare,7.9,4,2,1
Psychiatric,Assistive Technology,Stamina/Endurance,$1–$500,Large (500+),Retail/Hospitality,7.6,20,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Large (500+),Retail/Hospitality,1.8,78,0,0
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Large (500+),Manufacturing,0.5,13,0,1
Psychiatric,Physical Modification,Mobility,$1–$500,Small (<50),Manufacturing,0.5,12,0,1
Cognitive,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,0.9,66,0,0
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,4.9,23,0,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,1.9,5,0,1
Cognitive,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,9.7,9,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Education,3.9,15,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$1–$500,Small (<50),Government/Public Sector,0.6,30,3,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,0.5,21,0,1
Sensory (Vision/Hearing),Assistive Technology,Vision,$1–$500,Mid-size (50–499),Healthcare,4.3,12,1,0
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,0.5,21,0,1
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Finance/Insurance,2.2,13,0,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Technology,1.4,82,2,1
Neurological,Assistive Technology,Mobility,$1–$500,Large (500+),Manufacturing,2.6,9,2,1
Cognitive,Remote Work / Telework,Communication,"$2,001+",Small (<50),Healthcare,2.9,17,0,1
Cognitive,Assistive Technology,Vision,$1–$500,Small (<50),Retail/Hospitality,5.9,15,0,1
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Healthcare,1.2,15,3,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,16.7,10,0,1
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,6.4,63,3,1
Cognitive,Flexible Scheduling,Dexterity,"$501–$2,000",Small (<50),Finance/Insurance,2.0,100,0,0
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,0.5,32,0,1
Cognitive,Flexible Scheduling,Mobility,"$2,001+",Small (<50),Government/Public Sector,1.8,30,0,0
Chronic Illness,Ergonomic Equipment,Dexterity,$1–$500,Small (<50),Finance/Insurance,5.5,6,3,1
Psychiatric,Physical Modification,Communication,$1–$500,Small (<50),Finance/Insurance,1.3,62,0,1
Psychiatric,Physical Modification,Stamina/Endurance,"$501–$2,000",Large (500+),Education,0.9,13,0,1
Chronic Illness,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,7.5,5,2,1
Psychiatric,Flexible Scheduling,Communication,$1–$500,Large (500+),Healthcare,6.7,37,1,1
Neurological,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,12.7,51,0,1
Cognitive,Flexible Scheduling,Dexterity,"$501–$2,000",Mid-size (50–499),Education,1.0,62,0,0
Neurological,Physical Modification,Concentration/Focus,$1–$500,Large (500+),Education,5.8,17,0,1
Musculoskeletal,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Healthcare,1.2,16,0,0
Musculoskeletal,Remote Work / Telework,Dexterity,"$501–$2,000",Mid-size (50–499),Healthcare,9.8,29,1,1
Psychiatric,Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Technology,11.2,21,1,1
Cognitive,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Government/Public Sector,5.1,37,2,1
Musculoskeletal,Ergonomic Equipment,Mobility,"$501–$2,000",Mid-size (50–499),Education,0.5,29,1,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Technology,3.6,12,1,1
Musculoskeletal,Physical Modification,Stamina/Endurance,"$501–$2,000",Small (<50),Education,0.5,63,0,1
Cognitive,Ergonomic Equipment,Vision,$1–$500,Large (500+),Retail/Hospitality,0.5,37,0,0
Psychiatric,Flexible Scheduling,Mobility,$1–$500,Mid-size (50–499),Government/Public Sector,0.9,50,2,1
Chronic Illness,Policy Change / Exemption,Vision,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,7.1,12,0,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Education,2.6,37,1,1
Chronic Illness,Physical Modification,Mobility,"$2,001+",Large (500+),Education,13.0,44,0,1
Cognitive,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Retail/Hospitality,4.9,28,1,1
Chronic Illness,Assistive Technology,Dexterity,$1–$500,Small (<50),Manufacturing,1.3,10,1,0
Cognitive,Physical Modification,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,7.5,26,0,1
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.0,41,2,1
Chronic Illness,Flexible Scheduling,Dexterity,$1–$500,Large (500+),Education,0.8,53,1,1
Neurological,Remote Work / Telework,Communication,"$501–$2,000",Small (<50),Manufacturing,1.7,6,1,1
Neurological,Policy Change / Exemption,Concentration/Focus,$1–$500,Large (500+),Education,9.9,28,0,1
Cognitive,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Government/Public Sector,25.8,8,1,1
Cognitive,Physical Modification,Communication,$0 (No Cost),Small (<50),Finance/Insurance,0.5,41,1,0
Sensory (Vision/Hearing),Ergonomic Equipment,Mobility,$0 (No Cost),Small (<50),Retail/Hospitality,4.1,49,0,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Finance/Insurance,2.0,11,3,0
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$1–$500,Small (<50),Healthcare,8.6,9,0,1
Musculoskeletal,Physical Modification,Mobility,$0 (No Cost),Mid-size (50–499),Education,6.4,15,0,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$1–$500,Large (500+),Retail/Hospitality,0.5,22,0,1
Musculoskeletal,Assistive Technology,Mobility,$0 (No Cost),Small (<50),Retail/Hospitality,2.0,13,1,1
Psychiatric,Physical Modification,Concentration/Focus,"$501–$2,000",Large (500+),Finance/Insurance,0.5,44,0,0
Psychiatric,Assistive Technology,Concentration/Focus,"$501–$2,000",Small (<50),Technology,0.8,53,1,0
Chronic Illness,Remote Work / Telework,Mobility,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,4.2,27,1,1
Musculoskeletal,Physical Modification,Concentration/Focus,$0 (No Cost),Large (500+),Education,4.1,14,0,1
Cognitive,Physical Modification,Mobility,"$2,001+",Large (500+),Manufacturing,12.5,21,0,0
Neurological,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Education,3.0,27,0,1
Psychiatric,Assistive Technology,Vision,$0 (No Cost),Large (500+),Healthcare,0.6,20,1,1
Psychiatric,Policy Change / Exemption,Mobility,$0 (No Cost),Small (<50),Technology,3.9,23,2,1
Psychiatric,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Government/Public Sector,5.3,50,2,1
Cognitive,Assistive Technology,Stamina/Endurance,$1–$500,Mid-size (50–499),Technology,1.3,13,1,1
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Education,1.1,86,1,1
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,4.9,27,4,1
Cognitive,Remote Work / Telework,Mobility,$1–$500,Small (<50),Retail/Hospitality,0.5,19,1,1
Cognitive,Flexible Scheduling,Mobility,"$501–$2,000",Large (500+),Technology,11.9,13,0,1
Psychiatric,Ergonomic Equipment,Concentration/Focus,$1–$500,Large (500+),Healthcare,4.8,14,0,1
Psychiatric,Remote Work / Telework,Mobility,$1–$500,Large (500+),Healthcare,1.9,25,2,0
Psychiatric,Leave of Absence,Vision,$0 (No Cost),Large (500+),Healthcare,2.2,27,2,1
Psychiatric,Flexible Scheduling,Vision,"$501–$2,000",Small (<50),Finance/Insurance,1.4,19,1,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,0.5,8,1,1
Neurological,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Finance/Insurance,7.2,25,1,1
Cognitive,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,1.1,14,1,1
Neurological,Leave of Absence,Communication,$1–$500,Mid-size (50–499),Finance/Insurance,3.3,5,0,1
Sensory (Vision/Hearing),Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.1,38,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,6.1,5,1,1
Chronic Illness,Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Education,1.8,18,0,1
Neurological,Leave of Absence,Hearing,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.7,23,0,0
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,3.2,58,1,1
Cognitive,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Technology,3.2,5,0,1
Musculoskeletal,Assistive Technology,Communication,$0 (No Cost),Large (500+),Retail/Hospitality,13.4,41,0,1
Psychiatric,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Retail/Hospitality,3.3,46,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Finance/Insurance,0.8,70,0,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Finance/Insurance,0.7,52,2,1
Cognitive,Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Healthcare,12.2,23,2,1
Musculoskeletal,Policy Change / Exemption,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,12.3,42,4,1
Chronic Illness,Leave of Absence,Communication,$0 (No Cost),Mid-size (50–499),Education,2.4,60,2,0
Neurological,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,4.2,4,0,1
Psychiatric,Flexible Scheduling,Mobility,$1–$500,Small (<50),Finance/Insurance,1.0,8,0,0
Musculoskeletal,Physical Modification,Hearing,$0 (No Cost),Large (500+),Manufacturing,0.5,29,2,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Education,1.7,45,1,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,7.1,37,1,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Retail/Hospitality,3.2,31,1,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Education,1.5,69,0,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,$1–$500,Large (500+),Technology,1.5,19,0,1
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Mid-size (50–499),Manufacturing,9.4,13,2,1
Cognitive,Assistive Technology,Vision,$0 (No Cost),Small (<50),Government/Public Sector,1.1,16,1,0
Psychiatric,Physical Modification,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,0.6,30,0,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,4.1,23,1,1
Neurological,Policy Change / Exemption,Concentration/Focus,"$2,001+",Mid-size (50–499),Healthcare,1.2,47,0,1
Neurological,Assistive Technology,Communication,"$2,001+",Mid-size (50–499),Education,15.1,14,1,1
Neurological,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,3.8,32,0,0
Musculoskeletal,Physical Modification,Communication,$1–$500,Mid-size (50–499),Healthcare,23.4,42,0,1
Cognitive,Physical Modification,Mobility,$0 (No Cost),Small (<50),Technology,0.5,60,1,0
Neurological,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,6.3,9,0,1
Neurological,Policy Change / Exemption,Hearing,$1–$500,Large (500+),Manufacturing,21.5,16,2,1
Musculoskeletal,Physical Modification,Communication,$1–$500,Mid-size (50–499),Manufacturing,1.6,21,0,0
Psychiatric,Remote Work / Telework,Stamina/Endurance,$1–$500,Large (500+),Manufacturing,5.8,7,1,1
Neurological,Flexible Scheduling,Dexterity,"$501–$2,000",Mid-size (50–499),Manufacturing,2.5,31,2,1
Psychiatric,Physical Modification,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,0.5,31,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Vision,$1–$500,Small (<50),Manufacturing,4.6,29,2,1
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,1.6,20,0,1
Cognitive,Flexible Scheduling,Dexterity,$0 (No Cost),Small (<50),Education,0.5,55,1,0
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Technology,2.0,16,0,0
Cognitive,Flexible Scheduling,Mobility,"$2,001+",Small (<50),Healthcare,2.0,52,0,1
Neurological,Physical Modification,Communication,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,16,0,1
